# 동작|방향|프레임|머리·눈·악세 X이동|Y이동|옷 시작y|옷 끝y
# 이 파일은 tools/extract_player_parts.py 가 원본 그림에서 자동으로 뽑은 것이다.
Carrying - Run|Right|0|0|1|17|23
Carrying - Run|Right|1|0|2|18|23
Carrying - Run|Right|2|0|1|17|23
Carrying - Run|Right|3|0|0|16|23
Carrying - Run|Right|4|0|0|16|23
Carrying - Run|Right|5|0|2|18|23
Carrying - Run|Right|6|0|0|16|23
Carrying - Run|Right|7|0|0|16|23
Carrying - Run|Left|0|1|1|17|23
Carrying - Run|Left|1|1|2|18|23
Carrying - Run|Left|2|1|1|17|23
Carrying - Run|Left|3|1|0|16|23
Carrying - Run|Left|4|1|0|16|23
Carrying - Run|Left|5|1|2|18|23
Carrying - Run|Left|6|1|0|16|23
Carrying - Run|Left|7|1|0|16|23
Carrying - Pick Up|Down|0|0|4|21|23
Carrying - Pick Up|Down|1|0|3|20|23
Carrying - Pick Up|Down|2|0|1|18|23
Carrying - Pick Up|Down|3|0|1|17|23
Carrying - Pick Up|Up|0|0|4|21|23
Carrying - Pick Up|Up|1|0|3|20|23
Carrying - Pick Up|Up|2|0|1|18|23
Carrying - Pick Up|Up|3|0|1|17|23
Carrying - Pick Up|Right|0|0|4|21|23
Carrying - Pick Up|Right|1|0|3|20|23
Carrying - Pick Up|Right|2|0|1|18|23
Carrying - Pick Up|Right|3|0|1|17|23
Carrying - Pick Up|Left|0|1|4|21|23
Carrying - Pick Up|Left|1|1|3|20|23
Carrying - Pick Up|Left|2|1|1|18|23
Carrying - Pick Up|Left|3|1|1|17|23
Carrying - Throwing items|Down|0|0|0|17|23
Carrying - Throwing items|Down|1|0|2|18|23
Carrying - Throwing items|Down|2|0|5|22|23
Carrying - Throwing items|Down|3|0|4|21|23
Carrying - Throwing items|Down|4|0|1|18|23
Carrying - Throwing items|Up|0|0|0|17|23
Carrying - Throwing items|Up|1|0|2|18|23
Carrying - Throwing items|Up|2|0|5|22|23
Carrying - Throwing items|Up|3|0|4|21|23
Carrying - Throwing items|Up|4|0|1|18|23
Carrying - Throwing items|Right|0|0|0|17|23
Carrying - Throwing items|Right|1|0|2|19|23
Carrying - Throwing items|Right|2|0|5|22|23
Carrying - Throwing items|Right|3|0|2|19|23
Carrying - Throwing items|Right|4|0|1|18|23
Carrying - Throwing items|Left|0|1|0|17|23
Carrying - Throwing items|Left|1|1|2|19|23
Carrying - Throwing items|Left|2|1|5|22|23
Carrying - Throwing items|Left|3|1|2|19|23
Carrying - Throwing items|Left|4|1|1|18|23
Pickaxe|Down|0|0|1|18|23
Pickaxe|Down|1|0|0|16|23
Pickaxe|Down|2|0|1|17|23
Pickaxe|Down|3|0|0|17|23
Pickaxe|Down|4|0|0|17|23
Pickaxe|Down|5|0|1|18|23
Pickaxe|Up|0|0|1|18|23
Pickaxe|Up|1|0|0|16|23
Pickaxe|Up|2|0|1|17|23
Pickaxe|Up|3|0|0|17|23
Pickaxe|Up|4|0|0|17|23
Pickaxe|Up|5|0|1|18|23
Pickaxe|Right|0|0|1|18|23
Pickaxe|Right|1|0|0|17|23
Pickaxe|Right|2|0|1|18|23
Pickaxe|Right|3|1|1|18|23
Pickaxe|Right|4|1|1|18|23
Pickaxe|Right|5|0|1|18|23
Pickaxe|Left|0|1|1|18|23
Pickaxe|Left|1|1|0|17|23
Pickaxe|Left|2|1|1|18|23
Pickaxe|Left|3|0|1|18|23
Pickaxe|Left|4|0|1|18|23
Pickaxe|Left|5|1|1|18|23
Shovel|Down|0|0|0|17|23
Shovel|Down|1|0|1|18|23
Shovel|Down|2|0|2|19|23
Shovel|Down|3|0|1|18|23
Shovel|Down|4|0|0|17|23
Shovel|Up|0|0|0|17|23
Shovel|Up|1|0|1|18|23
Shovel|Up|2|0|2|19|23
Shovel|Up|3|0|1|18|23
Shovel|Up|4|0|0|17|23
Shovel|Right|0|0|0|17|23
Shovel|Right|1|0|1|18|23
Shovel|Right|2|1|2|19|23
Shovel|Right|3|0|1|18|23
Shovel|Right|4|0|0|16|23
Shovel|Left|0|-1|0|17|23
Shovel|Left|1|-1|1|18|23
Shovel|Left|2|-2|2|19|23
Shovel|Left|3|-1|1|18|23
Shovel|Left|4|-1|0|16|23
Watering|Down|0|0|1|18|23
Watering|Down|1|0|2|19|23
Watering|Down|2|0|1|18|23
Watering|Down|3|0|0|17|23
Watering|Down|4|0|0|17|23
Watering|Down|5|0|0|17|23
Watering|Down|6|0|0|17|23
Watering|Down|7|0|0|17|23
Watering|Up|0|0|1|18|23
Watering|Up|1|0|2|19|23
Watering|Up|2|0|1|18|23
Watering|Up|3|0|1|18|23
Watering|Up|4|0|1|18|23
Watering|Up|5|0|1|18|23
Watering|Up|6|0|1|18|23
Watering|Up|7|0|0|17|23
Watering|Right|0|0|1|18|23
Watering|Right|1|0|2|19|23
Watering|Right|2|0|1|18|23
Watering|Right|3|0|0|17|23
Watering|Right|4|0|0|17|23
Watering|Right|5|0|0|17|23
Watering|Right|6|0|0|17|23
Watering|Right|7|0|0|17|23
Watering|Left|0|-1|1|18|23
Watering|Left|1|-1|2|19|23
Watering|Left|2|-1|1|18|23
Watering|Left|3|-1|0|17|23
Watering|Left|4|-1|0|17|23
Watering|Left|5|-1|0|17|23
Watering|Left|6|-1|0|17|23
Watering|Left|7|-1|0|17|23
Axe and Sickle|Down|0|0|1|18|23
Axe and Sickle|Down|1|0|0|17|23
Axe and Sickle|Down|2|0|1|18|23
Axe and Sickle|Down|3|0|1|18|23
Axe and Sickle|Down|4|0|1|18|23
Axe and Sickle|Down|5|0|1|18|23
Axe and Sickle|Up|0|0|1|18|23
Axe and Sickle|Up|1|0|0|17|23
Axe and Sickle|Up|2|0|1|18|23
Axe and Sickle|Up|3|0|1|18|23
Axe and Sickle|Up|4|0|1|18|23
Axe and Sickle|Up|5|0|1|18|23
Axe and Sickle|Right|0|0|1|18|23
Axe and Sickle|Right|1|0|0|17|23
Axe and Sickle|Right|2|1|1|18|23
Axe and Sickle|Right|3|1|1|18|23
Axe and Sickle|Right|4|1|1|18|23
Axe and Sickle|Right|5|0|1|18|23
Axe and Sickle|Left|0|1|1|18|23
Axe and Sickle|Left|1|1|0|17|23
Axe and Sickle|Left|2|0|1|18|23
Axe and Sickle|Left|3|0|1|18|23
Axe and Sickle|Left|4|0|1|18|23
Axe and Sickle|Left|5|1|1|18|23
Fishing - Cast|Down|0|0|0|17|23
Fishing - Cast|Down|1|0|0|17|23
Fishing - Cast|Down|2|0|0|17|23
Fishing - Cast|Down|3|0|0|17|23
Fishing - Cast|Down|4|0|1|18|23
Fishing - Cast|Down|5|0|1|18|23
Fishing - Cast|Down|6|0|1|18|23
Fishing - Cast|Down|7|0|0|17|23
Fishing - Cast|Down|8|0|0|17|23
Fishing - Cast|Down|9|0|0|17|23
Fishing - Cast|Down|10|0|0|17|23
Fishing - Cast|Down|11|0|0|17|23
Fishing - Cast|Down|12|0|0|17|23
Fishing - Cast|Down|13|0|0|17|23
Fishing - Cast|Down|14|0|0|17|23
Fishing - Cast|Up|0|0|0|17|23
Fishing - Cast|Up|1|0|0|17|23
Fishing - Cast|Up|2|0|0|17|23
Fishing - Cast|Up|3|0|0|17|23
Fishing - Cast|Up|4|0|1|18|23
Fishing - Cast|Up|5|0|1|18|23
Fishing - Cast|Up|6|0|1|18|23
Fishing - Cast|Up|7|0|1|18|23
Fishing - Cast|Up|8|0|0|17|23
Fishing - Cast|Up|9|0|0|17|23
Fishing - Cast|Up|10|0|0|17|23
Fishing - Cast|Up|11|0|0|17|23
Fishing - Cast|Up|12|0|0|17|23
Fishing - Cast|Up|13|0|0|17|23
Fishing - Cast|Up|14|0|0|17|23
Fishing - Cast|Right|0|0|0|17|23
Fishing - Cast|Right|1|0|0|17|23
Fishing - Cast|Right|2|0|0|17|23
Fishing - Cast|Right|3|0|0|17|23
Fishing - Cast|Right|4|0|0|17|23
Fishing - Cast|Right|5|0|1|18|23
Fishing - Cast|Right|6|0|1|18|23
Fishing - Cast|Right|7|0|1|18|23
Fishing - Cast|Right|8|0|0|17|23
Fishing - Cast|Right|9|0|0|17|23
Fishing - Cast|Right|10|0|0|17|23
Fishing - Cast|Right|11|0|0|17|23
Fishing - Cast|Right|12|0|0|17|23
Fishing - Cast|Right|13|0|0|17|23
Fishing - Cast|Right|14|0|0|17|23
Fishing - Cast|Left|0|1|0|17|23
Fishing - Cast|Left|1|1|0|17|23
Fishing - Cast|Left|2|1|0|17|23
Fishing - Cast|Left|3|1|0|17|23
Fishing - Cast|Left|4|1|0|17|23
Fishing - Cast|Left|5|1|1|18|23
Fishing - Cast|Left|6|1|1|18|23
Fishing - Cast|Left|7|1|1|18|23
Fishing - Cast|Left|8|1|0|17|23
Fishing - Cast|Left|9|1|0|17|23
Fishing - Cast|Left|10|1|0|17|23
Fishing - Cast|Left|11|1|0|17|23
Fishing - Cast|Left|12|1|0|17|23
Fishing - Cast|Left|13|1|0|17|23
Fishing - Cast|Left|14|1|0|17|23
Fishing - Wait|Down|0|0|1|18|23
Fishing - Wait|Down|1|0|0|17|23
Fishing - Wait|Down|2|0|1|18|23
Fishing - Wait|Down|3|0|0|17|23
Fishing - Wait|Up|0|0|1|18|23
Fishing - Wait|Up|1|0|0|17|23
Fishing - Wait|Up|2|0|1|18|23
Fishing - Wait|Up|3|0|0|17|23
Fishing - Wait|Right|0|0|1|18|23
Fishing - Wait|Right|1|0|0|17|23
Fishing - Wait|Right|2|0|1|18|23
Fishing - Wait|Right|3|0|0|17|23
Fishing - Wait|Left|0|1|1|18|23
Fishing - Wait|Left|1|1|0|17|23
Fishing - Wait|Left|2|1|1|18|23
Fishing - Wait|Left|3|1|0|17|23
Fishing - Bite|Down|0|0|1|18|23
Fishing - Bite|Down|1|0|1|18|23
Fishing - Bite|Down|2|0|0|17|23
Fishing - Bite|Down|3|0|0|17|23
Fishing - Bite|Down|4|0|1|18|23
Fishing - Bite|Down|5|0|1|18|23
Fishing - Bite|Down|6|0|0|17|23
Fishing - Bite|Down|7|0|0|17|23
Fishing - Bite|Up|0|0|1|18|23
Fishing - Bite|Up|1|0|1|18|23
Fishing - Bite|Up|2|0|0|17|23
Fishing - Bite|Up|3|0|0|17|23
Fishing - Bite|Up|4|0|1|18|23
Fishing - Bite|Up|5|0|1|18|23
Fishing - Bite|Up|6|0|0|17|23
Fishing - Bite|Up|7|0|0|17|23
Fishing - Bite|Right|0|0|1|18|23
Fishing - Bite|Right|1|0|1|18|23
Fishing - Bite|Right|2|0|0|17|23
Fishing - Bite|Right|3|0|0|17|23
Fishing - Bite|Right|4|0|1|18|23
Fishing - Bite|Right|5|0|1|18|23
Fishing - Bite|Right|6|0|0|17|23
Fishing - Bite|Right|7|0|0|17|23
Fishing - Bite|Left|0|1|1|18|23
Fishing - Bite|Left|1|1|1|18|23
Fishing - Bite|Left|2|1|0|17|23
Fishing - Bite|Left|3|1|0|17|23
Fishing - Bite|Left|4|1|1|18|23
Fishing - Bite|Left|5|1|1|18|23
Fishing - Bite|Left|6|1|0|17|23
Fishing - Bite|Left|7|1|0|17|23
Fishing - Reel|Down|0|0|-1|16|23
Fishing - Reel|Down|1|0|-1|16|23
Fishing - Reel|Down|2|0|-1|16|23
Fishing - Reel|Down|3|0|-1|16|23
Fishing - Reel|Up|0|0|-1|16|23
Fishing - Reel|Up|1|0|-1|16|23
Fishing - Reel|Up|2|0|-1|16|23
Fishing - Reel|Up|3|0|-1|16|23
Fishing - Reel|Right|0|0|-1|16|23
Fishing - Reel|Right|1|0|-1|16|23
Fishing - Reel|Right|2|0|-1|16|23
Fishing - Reel|Right|3|0|-1|16|23
Fishing - Reel|Left|0|1|-1|16|23
Fishing - Reel|Left|1|1|-1|16|23
Fishing - Reel|Left|2|1|-1|16|23
Fishing - Reel|Left|3|1|-1|16|23
Fishing - Catch|Down|0|0|-1|16|23
Fishing - Catch|Down|1|0|1|18|23
Fishing - Catch|Down|2|0|1|18|23
Fishing - Catch|Down|3|0|1|18|23
Fishing - Catch|Up|0|0|-1|16|23
Fishing - Catch|Up|1|0|0|17|23
Fishing - Catch|Up|2|0|0|17|23
Fishing - Catch|Up|3|0|0|17|23
Fishing - Catch|Right|0|0|-1|16|23
Fishing - Catch|Right|1|0|0|17|23
Fishing - Catch|Right|2|0|0|17|23
Fishing - Catch|Right|3|0|0|17|23
Fishing - Catch|Left|0|1|-1|16|23
Fishing - Catch|Left|1|1|0|17|23
Fishing - Catch|Left|2|1|0|17|23
Fishing - Catch|Left|3|1|0|17|23
